Rank,Name,Role,Experience,GamesOfficiated,HomeWinPct,HomePtDifferential,TotPtPerGame,FoulsCalled,FoulvsRoad,FoulvsHome,FoulDifferential
1,Dedric Taylor,CREW,8,22,0.409,-2.364,230.182,41.091,51.991,48.009,1.6
2,Aaron Smith,CREW,6,22,0.591,2.727,220.636,37,49.14,50.86,-0.6
3,Gediminas Petraitis,CREW,7,23,0.391,-1.304,223.565,39.391,50.442,49.559,0.3
4,James Capers,CHIEF,26,20,0.4,-0.45,227.25,35.7,48.739,51.261,-0.9
5,Justin Van Duyne,CREW,8,19,0.737,3.053,227.474,39.789,52.646,47.355,2.1
6,Marat Kogut,CREW,12,19,0.474,-3.579,227.684,42.947,53.432,46.569,2.9
7,JB DeRosa,CHIEF,4,19,0.474,-0.579,226.368,40,49.211,50.789,-0.6
8,Tony Brothers,CHIEF,27,20,0.3,-4.85,217.75,38.25,50.98,49.02,0.8
9,Jacyn Goble,CREW,5,18,0.667,3.889,223,40.389,51.031,48.968,0.8
10,Evan Scott,CREW,3,19,0.632,3.684,229.895,40.158,49.41,50.59,-0.5
11,Rodney Mott,CHIEF,26,18,0.389,-3.222,226.778,41.722,47.404,52.597,-2.2
12,Mitchell Ervin,CREW,7,18,0.444,-1.722,219.278,42.222,48.158,51.842,-1.6
13,Eric Dalen,CREW,13,18,0.5,0.111,219.333,39.111,50.852,49.148,0.7
14,John Butler,CREW,3,16,0.5,1.063,222.188,41.75,50,50,0
15,Mousa Dagher,CREW,3,16,0.375,-3.813,225.813,38.188,52.045,47.954,1.6
16,Karl Lane,CREW,11,16,0.75,6.063,228.313,37.5,48.667,51.333,-1
17,Nate Green,CREW,3,18,0.556,-2.889,221.556,37.889,51.026,48.973,0.8
18,Andy Nagy,CREW,2,17,0.353,-5.471,227.353,39.118,50.225,49.774,0.2
19,Marc Davis,CHIEF,23,16,0.563,-2.188,220.563,36,53.646,46.354,2.6
20,Ben Taylor,CREW,10,15,0.4,-1.333,227.6,41.867,49.681,50.318,-0.3
21,Scott Twardoski,CREW,12,14,0.714,9.143,217,40.571,50.529,49.472,0.4
22,Brandon Adair,CREW,4,16,0.563,-0.25,225.125,38.375,49.023,50.977,-0.8
23,Danielle Scott,CREW,0,16,0.438,1.75,224.375,35.813,50.087,49.912,0.1
24,Natalie Sago,CREW,3,16,0.563,6.25,223.375,40.563,50.385,49.614,0.3
25,Scott Foster,CHIEF,27,18,0.611,8.111,231.444,42.778,48.441,51.558,-1.3
